SL NO,Stock,Quantity,Avg Price,CMP,Profit,Profit %,Target,Weightage,Target diff,Total Invested
1,NSE:GLAND,6,1914,1888.9,-150.6,-1.31,3513.00,8.12,1624.10,11484
2,NSE:SUNTV,15,764.95,799.25,514.5,4.48,1247.00,8.12,447.75,11474.25
3,NSE:CLEAN,10,1436.8,1512,752,5.23,1966.00,10.16,454.00,14368
4,NSE:IDFCFIRSTB,50,74.4,74.24,-8,-0.22,122.00,2.63,47.76,3720
5,NSE:ASIANPAINT,6,2927.5,3230.85,1820.1,10.36,3560.00,12.42,329.15,17565
6,NSE:WIPRO,21,475.05,523.55,1018.5,10.21,738.00,7.06,214.45,9976.05
7,NSE:TANLA,10,874.38,931,566.2,6.48,2007.00,6.19,1076.00,8743.8
8,NSE:IGL,10,527.65,552.95,253,4.79,698.00,3.73,145.05,5276.5
9,NSE:MOTHERSON,40,174.28,190.38,644,9.24,280.00,4.93,89.62,6971.2
10,NSE:BANDHANBNK,25,200.91,201.93,25.5,0.51,250.00,3.55,48.07,5022.75
11,NSE:HDFCBANK,5,1617,1637.8,104,1.29,2000.00,5.72,362.20,8085
12,NSE:UJJIVANSFB,50,43.39,44.28,44.5,2.05,108.00,1.53,63.72,2169.5
13,NSE:KRBL,20,309.79,307.5,-45.8,-0.74,762.00,4.38,454.50,6195.8
14,NSE:BSOFT,30,663.08,661.65,-42.9,-0.22,1000.00,14.07,338.35,19892.4
15,NSE:MANINFRA,10,187.93,197.11,91.8,4.88,245.00,1.33,47.89,1879.3
16,NSE:DBCORP,15,339.1,326.8,-184.5,-3.63,690.00,3.60,363.20,5086.5
17,NSE:JIOFIN,10,345.9,346.65,7.5,0.22,690.00,2.45,343.35,3459